Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,81.0,85.0,79.0,79.0,54.0,79.0,66.0,75.0,67.0,8.0,40.0,
2017,82.0,86.0,79.0,79.0,32.0,79.0,47.0,75.0,63.0,,15.0,
2016,81.0,85.0,79.0,79.0,,79.0,2.0,76.0,55.0,,,
2015,80.0,85.0,78.0,78.0,,78.0,,75.0,31.0,,,
2014,82.0,85.0,78.0,78.0,,30.0,,75.0,28.0,,,
2013,86.0,86.0,85.0,85.0,,4.0,,81.0,76.0,,,
2012,88.0,87.0,83.0,83.0,,,,82.0,78.0,,,
2011,98.0,88.0,81.0,81.0,,,,80.0,76.0,,,
2010,88.0,89.0,81.0,83.0,,,,78.0,74.0,,,
2009,78.0,88.0,78.0,82.0,,,,74.0,67.0,,,
2008,80.0,88.0,77.0,82.0,,,,76.0,66.0,,,
2007,83.0,85.0,73.0,76.0,,,,76.0,73.0,,,
2006,88.0,86.0,72.0,66.0,,,,79.0,50.0,,,
2005,86.0,85.0,72.0,65.0,,,,77.0,23.0,,,
2004,85.0,84.0,71.0,64.0,,,,76.0,29.0,,,
2003,83.0,84.0,71.0,64.0,,,,74.0,21.0,,,
2002,82.0,83.0,70.0,63.0,,,,72.0,,,,
2001,80.0,82.0,76.0,62.0,,,,76.0,,,,
2000,81.0,84.0,75.0,65.0,,,,76.0,,,,
1999,83.0,86.0,75.0,77.0,,,,77.0,,,,
1998,84.0,88.0,74.0,76.0,,,,77.0,,,,
1997,85.0,90.0,73.0,65.0,,,,77.0,,,,
1996,87.0,89.0,72.0,62.0,,,,79.0,,,,
1995,77.0,87.0,69.0,50.0,,,,63.0,,,,
1994,77.0,87.0,68.0,42.0,,,,66.0,,,,
1993,78.0,86.0,66.0,43.0,,,,68.0,,,,
1992,76.0,84.0,64.0,28.0,,,,65.0,,,,
1991,75.0,83.0,62.0,,,,,61.0,,,,
1990,74.0,82.0,60.0,,,,,58.0,,,,
1989,72.0,80.0,57.0,,,,,54.0,,,,
1988,70.0,77.0,54.0,,,,,51.0,,,,
1987,68.0,74.0,50.0,,,,,48.0,,,,
1986,66.0,72.0,47.0,,,,,45.0,,,,
1985,65.0,52.0,27.0,,,,,26.0,,,,
1984,56.0,35.0,13.0,,,,,13.0,,,,
1983,58.0,25.0,6.0,,,,,6.0,,,,
1982,60.0,18.0,1.0,,,,,,,,,
1981,55.0,18.0,1.0,,,,,,,,,
1980,61.0,,,,,,,,,,,
