Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,79.0,73.0,68.0,68.0,55.0,68.0,60.0,69.0,57.0,56.0,69.0,
2017,81.0,76.0,69.0,69.0,55.0,69.0,61.0,72.0,,56.0,72.0,
2016,78.0,72.0,66.0,66.0,,66.0,51.0,66.0,,51.0,66.0,
2015,83.0,86.0,81.0,81.0,,81.0,13.0,83.0,,50.0,83.0,
2014,82.0,94.0,88.0,88.0,,88.0,,87.0,,45.0,87.0,
2013,82.0,89.0,87.0,87.0,,87.0,,82.0,,,82.0,
2012,81.0,87.0,79.0,79.0,,79.0,,72.0,,,72.0,
2011,77.0,83.0,78.0,78.0,,78.0,,69.0,,,,
2010,72.0,81.0,74.0,74.0,,74.0,,64.0,,,,
2009,67.0,76.0,67.0,67.0,,,,59.0,,,,
2008,68.0,73.0,61.0,61.0,,,,52.0,,,,
2007,56.0,59.0,50.0,50.0,,,,40.0,,,,
2006,61.0,68.0,57.0,57.0,,,,48.0,,,,
2005,65.0,68.0,49.0,49.0,,,,41.0,,,,
2004,60.0,66.0,45.0,45.0,,,,36.0,,,,
2003,65.0,72.0,49.0,50.0,,,,42.0,,,,
2002,65.0,64.0,53.0,,,,,55.0,,,,
2001,60.0,59.0,52.0,,,,,50.0,,,,
2000,69.0,83.0,51.0,,,,,42.0,,,,
1999,63.0,83.0,55.0,,,,,71.0,,,,
1998,56.0,82.0,54.0,,,,,71.0,,,,
1997,58.0,82.0,60.0,,,,,67.0,,,,
1996,61.0,80.0,58.0,,,,,73.0,,,,
1995,62.0,77.0,54.0,,,,,68.0,,,,
1994,69.0,72.0,48.0,,,,,73.0,,,,
1993,42.0,50.0,25.0,,,,,46.0,,,,
1992,34.0,47.0,23.0,,,,,46.0,,,,
1991,34.0,46.0,22.0,,,,,47.0,,,,
1990,26.0,41.0,18.0,,,,,32.0,,,,
1989,29.0,45.0,21.0,,,,,20.0,,,,
1988,27.0,40.0,17.0,,,,,23.0,,,,
1987,15.0,31.0,10.0,,,,,11.0,,,,
1986,10.0,24.0,5.0,,,,,10.0,,,,
1985,8.0,22.0,4.0,,,,,6.0,,,,
1984,7.0,24.0,5.0,,,,,6.0,,,,
1983,7.0,27.0,7.0,,,,,7.0,,,,
1982,6.0,27.0,7.0,,,,,7.0,,,,
1981,4.0,27.0,7.0,,,,,7.0,,,,
1980,,,,,,,,,,,,
