Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,99.0,99.0,99.0,95.0,99.0,96.0,99.0,,96.0,,East Asia & Pacific
2017,98.0,99.0,99.0,98.0,90.0,99.0,93.0,99.0,,93.0,,East Asia & Pacific
2016,99.0,98.0,95.0,98.0,88.0,95.0,93.0,99.0,,93.0,,East Asia & Pacific
2015,99.0,99.0,99.0,99.0,88.0,99.0,93.0,99.0,,93.0,,East Asia & Pacific
2014,99.0,99.0,97.0,96.0,90.0,97.0,94.0,99.0,,94.0,,East Asia & Pacific
2013,99.0,99.0,97.0,96.0,87.0,97.0,95.0,99.0,,95.0,,East Asia & Pacific
2012,99.0,99.0,97.0,97.0,91.0,99.0,95.0,99.0,,95.0,,East Asia & Pacific
2011,99.0,98.0,96.0,96.0,95.0,95.0,95.0,95.0,,95.0,,East Asia & Pacific
2010,99.0,98.0,96.0,96.0,95.0,95.0,95.0,95.0,,95.0,,East Asia & Pacific
2009,99.0,99.0,97.0,96.0,95.0,95.0,95.0,95.0,,95.0,,East Asia & Pacific
2008,99.0,99.0,97.0,97.0,99.0,95.0,95.0,93.0,,95.0,,East Asia & Pacific
2007,99.0,99.0,97.0,96.0,90.0,90.0,95.0,92.0,,95.0,,East Asia & Pacific
2006,98.0,98.0,95.0,95.0,90.0,89.0,95.0,90.0,,95.0,,East Asia & Pacific
2005,98.0,98.0,96.0,96.0,90.0,85.0,96.0,91.0,,96.0,,East Asia & Pacific
2004,99.0,98.0,95.0,94.0,95.0,71.0,95.0,,,95.0,,East Asia & Pacific
2003,99.0,98.0,96.0,95.0,90.0,,93.0,,,93.0,,East Asia & Pacific
2002,98.0,98.0,94.0,95.0,90.0,,94.0,,,94.0,,East Asia & Pacific
2001,98.0,98.0,96.0,95.0,97.0,,95.0,,,95.0,,East Asia & Pacific
2000,99.0,99.0,98.0,97.0,92.0,,96.0,,,96.0,,East Asia & Pacific
1999,99.0,99.0,97.0,96.0,,,97.0,,,97.0,,East Asia & Pacific
1998,98.0,99.0,97.0,96.0,,,96.0,,,96.0,,East Asia & Pacific
1997,98.0,98.0,98.0,97.0,,,98.0,,,,,East Asia & Pacific
1996,98.0,98.0,97.0,96.0,,,97.0,,,,,East Asia & Pacific
1995,98.0,98.0,98.0,96.0,,,97.0,,,,,East Asia & Pacific
1994,97.0,95.0,95.0,94.0,,,95.0,,,,,East Asia & Pacific
1993,98.0,91.0,91.0,86.0,,,81.0,,,,,East Asia & Pacific
1992,99.0,92.0,94.0,86.0,,,82.0,,,,,East Asia & Pacific
1991,99.0,93.0,92.0,89.0,,,80.0,,,,,East Asia & Pacific
1990,99.0,95.0,90.0,86.0,,,70.0,,,,,East Asia & Pacific
1989,99.0,92.0,84.0,69.0,,,61.0,,,,,East Asia & Pacific
1988,99.0,76.0,68.0,,,,61.0,,,,,East Asia & Pacific
1987,98.0,78.0,69.0,,,,68.0,,,,,East Asia & Pacific
1986,96.0,73.0,62.0,,,,35.0,,,,,East Asia & Pacific
1985,95.0,68.0,57.0,,,,20.0,,,,,East Asia & Pacific
1984,95.0,67.0,54.0,,,,23.0,,,,,East Asia & Pacific
1983,94.0,71.0,58.0,,,,11.0,,,,,East Asia & Pacific
1982,95.0,90.0,73.0,,,,,,,,,East Asia & Pacific
1981,91.0,86.0,66.0,,,,,,,,,East Asia & Pacific
1980,94.0,86.0,67.0,,,,,,,,,East Asia & Pacific
