Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,80.0,97.0,75.0,83.0,75.0,59.0,73.0,48.0,67.0,73.0,52.0,East Asia & Pacific
2017,83.0,97.0,73.0,80.0,75.0,44.0,76.0,52.0,65.0,76.0,35.0,East Asia & Pacific
2016,85.0,95.0,69.0,76.0,80.0,46.0,70.0,45.0,63.0,70.0,35.0,East Asia & Pacific
2015,76.0,95.0,72.0,78.0,75.0,61.0,74.0,74.0,67.0,74.0,46.0,East Asia & Pacific
2014,73.0,97.0,77.0,81.0,72.0,65.0,83.0,75.0,64.0,83.0,40.0,East Asia & Pacific
2013,70.0,98.0,81.0,83.0,69.0,68.0,91.0,75.0,61.0,91.0,33.0,East Asia & Pacific
2012,78.0,97.0,81.0,82.0,81.0,66.0,91.0,70.0,60.0,91.0,45.0,East Asia & Pacific
2011,75.0,96.0,84.0,83.0,81.0,72.0,92.0,75.0,63.0,92.0,40.0,East Asia & Pacific
2010,70.0,90.0,85.0,88.0,80.0,70.0,80.0,75.0,70.0,80.0,70.0,East Asia & Pacific
2009,75.0,97.0,91.0,89.0,88.0,73.0,86.0,82.0,,86.0,,East Asia & Pacific
2008,79.0,87.0,85.0,89.0,87.0,73.0,86.0,84.0,,86.0,,East Asia & Pacific
2007,82.0,86.0,79.0,90.0,86.0,79.0,92.0,86.0,,92.0,,East Asia & Pacific
2006,55.0,83.0,67.0,84.0,90.0,59.0,83.0,85.0,,83.0,,East Asia & Pacific
2005,70.0,98.0,94.0,91.0,93.0,74.0,96.0,84.0,,96.0,,East Asia & Pacific
2004,62.0,81.0,78.0,80.0,83.0,65.0,85.0,74.0,,85.0,,East Asia & Pacific
2003,64.0,97.0,92.0,89.0,79.0,68.0,91.0,66.0,,91.0,,East Asia & Pacific
2002,52.0,87.0,84.0,85.0,74.0,70.0,88.0,65.0,,88.0,,East Asia & Pacific
2001,39.0,90.0,75.0,81.0,70.0,73.0,84.0,64.0,,84.0,,East Asia & Pacific
2000,24.0,92.0,85.0,87.0,65.0,75.0,85.0,50.0,,85.0,,East Asia & Pacific
1999,39.0,92.0,76.0,77.0,,40.0,79.0,,,79.0,,East Asia & Pacific
1998,52.0,91.0,80.0,79.0,,,82.0,,,82.0,,East Asia & Pacific
1997,48.0,91.0,75.0,78.0,,,74.0,,,74.0,,East Asia & Pacific
1996,49.0,92.0,79.0,80.0,,,82.0,,,82.0,,East Asia & Pacific
1995,50.0,94.0,83.0,82.0,,,90.0,,,90.0,,East Asia & Pacific
1994,50.0,93.0,81.0,82.0,,,83.0,,,83.0,,East Asia & Pacific
1993,50.0,92.0,78.0,82.0,,,80.0,,,80.0,,East Asia & Pacific
1992,50.0,97.0,91.0,73.0,,,78.0,,,78.0,,East Asia & Pacific
1991,50.0,92.0,79.0,65.0,,,76.0,,,76.0,,East Asia & Pacific
1990,12.0,95.0,85.0,56.0,,,81.0,,,81.0,,East Asia & Pacific
1989,8.0,98.0,95.0,47.0,,,94.0,,,94.0,,East Asia & Pacific
1988,,95.0,85.0,,,,84.0,,,84.0,,East Asia & Pacific
1987,,80.0,57.0,,,,69.0,,,69.0,,East Asia & Pacific
1986,,,,,,,,,,,,East Asia & Pacific
1985,,,,,,,,,,,,East Asia & Pacific
1984,,,,,,,,,,,,East Asia & Pacific
1983,,,,,,,,,,,,East Asia & Pacific
1982,,,,,,,,,,,,East Asia & Pacific
1981,,,,,,,,,,,,East Asia & Pacific
1980,,,,,,,,,,,,East Asia & Pacific
