Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,95.0,93.0,93.0,,92.0,92.0,90.0,96.0,92.0,86.0
2017,95.0,94.0,94.0,,93.0,93.0,90.0,94.0,93.0,89.0
2016,92.0,92.0,92.0,,92.0,92.0,89.0,93.0,92.0,66.0
2015,93.0,92.0,92.0,,92.0,93.0,87.0,93.0,93.0,
2014,93.0,93.0,93.0,,93.0,93.0,86.0,93.0,93.0,
2013,93.0,92.0,93.0,,92.0,92.0,86.0,93.0,92.0,
2012,94.0,93.0,93.0,,93.0,92.0,85.0,92.0,92.0,
2011,95.0,95.0,95.0,,94.0,93.0,86.0,92.0,93.0,
2010,95.0,93.0,90.0,,89.0,91.0,,89.0,91.0,
2009,94.0,92.0,93.0,,98.0,89.0,,87.0,89.0,
2008,91.0,89.0,90.0,,86.0,86.0,,,86.0,
2007,91.0,88.0,88.0,,78.0,79.0,,,79.0,
2006,92.0,89.0,87.0,,80.0,82.0,,,82.0,
2005,92.0,89.0,87.0,,80.0,82.0,,,82.0,
2004,91.0,89.0,88.0,,83.0,83.0,,,83.0,
2003,91.0,90.0,89.0,,85.0,84.0,,,84.0,
2002,90.0,90.0,89.0,,88.0,84.0,,,84.0,
2001,96.0,90.0,90.0,,90.0,85.0,,,85.0,
2000,96.0,90.0,90.0,,90.0,85.0,,,85.0,
1999,91.0,88.0,89.0,,88.0,83.0,,,83.0,
1998,93.0,81.0,87.0,,81.0,81.0,,,81.0,
1997,95.0,86.0,99.0,,86.0,99.0,,,99.0,
1996,96.0,88.0,94.0,,,92.0,,,92.0,
1995,96.0,89.0,88.0,,,84.0,,,84.0,
1994,94.0,84.0,81.0,,,87.0,,,87.0,
1993,94.0,83.0,74.0,,,85.0,,,85.0,
1992,93.0,81.0,67.0,,,82.0,,,82.0,
1991,93.0,81.0,,,,82.0,,,82.0,
1990,96.0,90.0,,,,90.0,,,90.0,
1989,93.0,80.0,,,,83.0,,,83.0,
1988,87.0,69.0,,,,75.0,,,75.0,
1987,86.0,67.0,,,,67.0,,,67.0,
1986,88.0,70.0,,,,60.0,,,60.0,
1985,89.0,72.0,,,,64.0,,,64.0,
1984,94.0,83.0,,,,67.0,,,67.0,
1983,90.0,73.0,,,,71.0,,,71.0,
1982,90.0,73.0,,,,74.0,,,74.0,
1981,89.0,72.0,,,,77.0,,,77.0,
1980,91.0,76.0,,,,80.0,,,80.0,
