Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,83.0,86.0,85.0,85.0,67.0,85.0,88.0,93.0,54.0,84.0,93.0,,East Asia & Pacific
2017,78.0,87.0,83.0,83.0,67.0,83.0,72.0,84.0,,81.0,84.0,,East Asia & Pacific
2016,80.0,99.0,94.0,94.0,67.0,94.0,67.0,82.0,,87.0,82.0,,East Asia & Pacific
2015,79.0,93.0,87.0,87.0,65.0,87.0,7.0,75.0,,42.0,75.0,,East Asia & Pacific
2014,81.0,83.0,77.0,77.0,62.0,77.0,,76.0,,,76.0,,East Asia & Pacific
2013,82.0,88.0,83.0,83.0,58.0,83.0,,76.0,,,76.0,,East Asia & Pacific
2012,85.0,96.0,92.0,92.0,59.0,92.0,,87.0,,,,,East Asia & Pacific
2011,94.0,97.0,91.0,92.0,61.0,92.0,,77.0,,,,,East Asia & Pacific
2010,91.0,90.0,83.0,87.0,62.0,87.0,,74.0,,,,,East Asia & Pacific
2009,92.0,88.0,86.0,91.0,71.0,87.0,,69.0,,,,,East Asia & Pacific
2008,92.0,85.0,85.0,89.0,80.0,89.0,,71.0,,,,,East Asia & Pacific
2007,98.0,93.0,88.0,90.0,83.0,,,90.0,,,,,East Asia & Pacific
2006,99.0,99.0,99.0,99.0,81.0,,,99.0,,,,,East Asia & Pacific
2005,96.0,93.0,89.0,83.0,80.0,,,87.0,,,,,East Asia & Pacific
2004,99.0,91.0,90.0,81.0,78.0,,,87.0,,,,,East Asia & Pacific
2003,93.0,86.0,84.0,79.0,76.0,,,82.0,,,,,East Asia & Pacific
2002,87.0,82.0,78.0,75.0,73.0,,,78.0,,,,,East Asia & Pacific
2001,94.0,84.0,84.0,83.0,99.0,,,83.0,,,,,East Asia & Pacific
2000,99.0,95.0,86.0,81.0,,,,91.0,,,,,East Asia & Pacific
1999,99.0,96.0,88.0,79.0,,,,99.0,,,,,East Asia & Pacific
1998,74.0,88.0,70.0,75.0,,,,66.0,,,,,East Asia & Pacific
1997,73.0,89.0,72.0,73.0,,,,68.0,,,,,East Asia & Pacific
1996,96.0,89.0,72.0,97.0,,,,90.0,,,,,East Asia & Pacific
1995,77.0,87.0,69.0,68.0,,,,68.0,,,,,East Asia & Pacific
1994,76.0,87.0,68.0,65.0,,,,60.0,,,,,East Asia & Pacific
1993,66.0,85.0,65.0,53.0,,,,64.0,,,,,East Asia & Pacific
1992,75.0,88.0,71.0,,,,,70.0,,,,,East Asia & Pacific
1991,83.0,91.0,76.0,,,,,76.0,,,,,East Asia & Pacific
1990,87.0,91.0,77.0,,,,,70.0,,,,,East Asia & Pacific
1989,82.0,86.0,67.0,,,,,92.0,,,,,East Asia & Pacific
1988,79.0,87.0,69.0,,,,,69.0,,,,,East Asia & Pacific
1987,66.0,86.0,66.0,,,,,58.0,,,,,East Asia & Pacific
1986,47.0,67.0,42.0,,,,,31.0,,,,,East Asia & Pacific
1985,50.0,63.0,38.0,,,,,,,,,,East Asia & Pacific
1984,61.0,70.0,45.0,,,,,,,,,,East Asia & Pacific
1983,39.0,52.0,27.0,,,,,,,,,,East Asia & Pacific
1982,36.0,47.0,23.0,,,,,,,,,,East Asia & Pacific
1981,43.0,60.0,35.0,,,,,,,,,,East Asia & Pacific
1980,65.0,71.0,46.0,,,,,,,,,,East Asia & Pacific
