Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,89.0,89.0,99.0,89.0,88.0,81.0,,88.0,,East Asia & Pacific
2017,99.0,99.0,96.0,96.0,99.0,96.0,95.0,94.0,,95.0,,East Asia & Pacific
2016,98.0,99.0,94.0,94.0,99.0,94.0,96.0,92.0,,96.0,,East Asia & Pacific
2015,99.0,99.0,96.0,96.0,98.0,96.0,94.0,86.0,,94.0,,East Asia & Pacific
2014,99.0,99.0,89.0,89.0,99.0,89.0,94.0,91.0,,94.0,,East Asia & Pacific
2013,99.0,99.0,90.0,90.0,97.0,90.0,96.0,84.0,,96.0,,East Asia & Pacific
2012,99.0,99.0,97.0,97.0,99.0,97.0,98.0,93.0,,98.0,,East Asia & Pacific
2011,99.0,99.0,96.0,96.0,98.0,96.0,98.0,90.0,,98.0,,East Asia & Pacific
2010,99.0,99.0,89.0,89.0,99.0,89.0,85.0,87.0,,85.0,,East Asia & Pacific
2009,99.0,97.0,88.0,91.0,99.0,84.0,90.0,84.0,,90.0,,East Asia & Pacific
2008,99.0,99.0,99.0,99.0,99.0,,93.0,82.0,,93.0,,East Asia & Pacific
2007,99.0,99.0,97.0,97.0,99.0,,95.0,74.0,,95.0,,East Asia & Pacific
2006,99.0,99.0,97.0,97.0,99.0,,84.0,83.0,,84.0,,East Asia & Pacific
2005,99.0,99.0,93.0,79.0,99.0,,62.0,86.0,,62.0,,East Asia & Pacific
2004,99.0,99.0,98.0,98.0,91.0,,97.0,90.0,,,,East Asia & Pacific
2003,99.0,99.0,93.0,95.0,90.0,,95.0,93.0,,,,East Asia & Pacific
2002,99.0,99.0,98.0,99.0,83.0,,99.0,97.0,,,,East Asia & Pacific
2001,99.0,99.0,96.0,99.0,92.0,,99.0,99.0,,,,East Asia & Pacific
2000,99.0,93.0,82.0,81.0,99.0,,81.0,,,,,East Asia & Pacific
1999,99.0,84.0,83.0,93.0,,,94.0,,,,,East Asia & Pacific
1998,99.0,98.0,94.0,96.0,,,96.0,,,,,East Asia & Pacific
1997,99.0,91.0,77.0,88.0,,,99.0,,,,,East Asia & Pacific
1996,99.0,98.0,97.0,86.0,,,94.0,,,,,East Asia & Pacific
1995,88.0,95.0,87.0,49.0,,,94.0,,,,,East Asia & Pacific
1994,90.0,99.0,99.0,17.0,,,79.0,,,,,East Asia & Pacific
1993,87.0,94.0,80.0,,,,64.0,,,,,East Asia & Pacific
1992,97.0,88.0,70.0,,,,66.0,,,,,East Asia & Pacific
1991,95.0,90.0,74.0,,,,63.0,,,,,East Asia & Pacific
1990,96.0,99.0,99.0,,,,95.0,,,,,East Asia & Pacific
1989,98.0,95.0,85.0,,,,79.0,,,,,East Asia & Pacific
1988,95.0,96.0,89.0,,,,90.0,,,,,East Asia & Pacific
1987,86.0,81.0,59.0,,,,65.0,,,,,East Asia & Pacific
1986,92.0,90.0,73.0,,,,65.0,,,,,East Asia & Pacific
1985,90.0,76.0,52.0,,,,92.0,,,,,East Asia & Pacific
1984,90.0,62.0,37.0,,,,71.0,,,,,East Asia & Pacific
1983,99.0,92.0,79.0,,,,65.0,,,,,East Asia & Pacific
1982,78.0,89.0,72.0,,,,,,,,,East Asia & Pacific
1981,89.0,73.0,49.0,,,,,,,,,East Asia & Pacific
1980,99.0,61.0,36.0,,,,,,,,,East Asia & Pacific
